dataset;GEBCO 2020;
ncols;43;
nrows;17;
llcorner_lat;54.52291667;
llcorner_lon;11.44791667;
cellsize;0.004166666667;
NODATA_value;-9999;
-8;-8;-7;-7;-7;-6;-6;-5;-5;-4;-4;-3;-3;-3;-3;-2;-2;-2;-2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
-9;-9;-8;-8;-7;-7;-7;-6;-6;-6;-6;-5;-5;-5;-5;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;
-10;-9;-9;-8;-8;-8;-7;-7;-7;-6;-6;-6;-6;-6;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-4;-4;-4;-4;
-11;-10;-10;-9;-9;-9;-8;-8;-7;-7;-7;-7;-6;-6;-6;-6;-6;-6;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;
-12;-11;-11;-10;-10;-10;-9;-9;-8;-8;-8;-7;-7;-7;-7;-6;-6;-6;-6;-6;-6;-6;-6;-6;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;
-13;-13;-12;-12;-11;-11;-10;-10;-9;-9;-9;-8;-8;-8;-7;-7;-7;-7;-7;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-5;-5;-5;-5;-5;-6;-6;-6;-6;-6;-6;-6;-6;-6;
-15;-14;-14;-13;-12;-12;-11;-11;-10;-10;-10;-9;-9;-9;-8;-8;-8;-7;-7;-7;-7;-7;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;
-16;-16;-15;-14;-14;-13;-13;-12;-12;-11;-11;-10;-10;-9;-9;-9;-8;-8;-8;-7;-7;-7;-7;-7;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;
-18;-17;-17;-16;-15;-15;-14;-13;-13;-12;-12;-11;-11;-10;-10;-10;-9;-9;-8;-8;-8;-8;-7;-7;-7;-7;-7;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;
-19;-19;-18;-17;-17;-16;-16;-15;-14;-14;-13;-13;-12;-12;-11;-11;-10;-10;-9;-9;-9;-8;-8;-8;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;
-21;-20;-19;-19;-18;-18;-17;-17;-16;-15;-15;-14;-14;-13;-13;-12;-11;-11;-10;-10;-10;-9;-9;-9;-8;-8;-8;-8;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;
-22;-21;-20;-20;-19;-19;-18;-18;-17;-17;-16;-16;-15;-14;-14;-13;-13;-12;-12;-11;-11;-10;-10;-10;-9;-9;-9;-9;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;
-22;-21;-20;-20;-20;-20;-19;-19;-18;-18;-17;-17;-16;-16;-15;-15;-14;-14;-13;-13;-12;-12;-11;-11;-11;-11;-10;-10;-10;-10;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-8;-8;-8;
-22;-21;-21;-20;-20;-20;-20;-19;-19;-18;-18;-17;-17;-17;-16;-16;-15;-15;-14;-14;-14;-13;-13;-13;-12;-12;-12;-11;-11;-11;-11;-11;-11;-10;-10;-10;-10;-10;-10;-10;-9;-9;-9;
-23;-23;-23;-22;-21;-21;-20;-19;-19;-19;-18;-18;-17;-17;-17;-17;-16;-16;-15;-15;-15;-14;-14;-14;-14;-13;-13;-13;-13;-12;-12;-12;-12;-12;-12;-11;-11;-11;-11;-11;-10;-10;-10;
-25;-24;-24;-24;-23;-22;-21;-20;-20;-19;-19;-19;-18;-18;-18;-17;-17;-16;-16;-16;-15;-15;-15;-15;-15;-14;-14;-14;-14;-14;-13;-13;-13;-13;-13;-13;-12;-12;-12;-12;-12;-11;-11;
-25;-25;-25;-25;-24;-23;-23;-22;-21;-20;-20;-20;-20;-20;-19;-18;-18;-18;-18;-17;-16;-16;-16;-15;-15;-15;-15;-15;-15;-14;-14;-14;-14;-14;-14;-14;-13;-13;-13;-13;-13;-12;-12;
